R0000100,R0173600,R0214800,H0012400,H0012500,R0214700,R0217900,T4120500
1885,5,2,1,3,0,40000,32
1886,5,2,0,1,0,26000,NA
1887,1,1,1,2,0,10000,-998
1888,5,2,1,2,0,10000,-998
1889,1,1,0,1,0,10000,21
1890,1,1,0,2,0,10000,-998
1891,2,1,0,2,0,9165,40
1892,6,2,NA,NA,0,9165,NA
1893,5,2,1,1,0,13000,NA
1894,1,1,NA,NA,0,31400,-998
1895,1,1,1,3,0,28000,21
1896,5,2,1,3,0,28000,28
1897,1,1,NA,NA,0,12000,NA
1898,5,2,1,1,0,14000,NA
1899,1,1,0,2,0,15000,-998
1900,5,2,0,1,0,60000,NA
1901,1,1,0,2,0,60000,22
1902,5,2,0,3,0,60000,29
1903,1,1,NA,NA,0,25800,NA
1904,5,2,0,3,0,25800,19
1905,5,2,0,1,0,25800,NA
1906,5,2,0,2,0,35000,38
1907,6,2,NA,NA,0,9000,NA
1908,2,1,NA,NA,0,2942,NA
1909,1,1,1,3,0,NA,38
1910,1,1,0,2,0,25000,31
1911,1,1,0,2,0,NA,25
1912,5,2,1,1,0,25000,27
1913,5,2,1,1,0,25000,-998
1914,1,1,1,1,0,37000,29
1915,5,2,1,2,0,NA,42
1916,1,1,1,2,0,33680,NA
1917,1,1,0,1,0,9000,26
1918,1,1,0,3,0,22000,29
1919,1,1,1,2,0,22000,-998
1920,1,1,0,2,0,42000,-998
1921,5,2,0,1,0,NA,-998
1922,5,2,NA,NA,0,25000,NA
1923,5,2,NA,NA,0,25000,NA
1924,1,1,1,1,0,16000,-998
1925,1,1,0,1,0,17500,-998
1926,5,2,1,3,0,16000,28
1927,5,2,0,2,0,16000,22
1928,6,2,1,2,0,NA,17
1929,5,2,1,2,0,20000,-998
1930,1,1,1,1,0,20000,29
